date,name,direction,entry_time,typ,long,short,debit,hold_val,contracts,pnl,equity_after,or_high,or_low,events,settle
2022-09-26,a_held,long,10:23,call,3700.0,3725.0,13.599999999999998,0.0,1,-136.1,8753.27,3682.6,3668.7,A_up@10:22|B@11:19|failed_C_down@11:30|C_down@12:28,3652.0852
2022-10-03,a_held,long,10:09,call,3635.0,3660.0,14.2,25.0,1,107.9,8861.17,3611.1,3593.1,A_up@10:08,3682.5945
2022-10-06,a_held,short,10:10,put,3745.0,3720.0,6.700000000000001,2.765600000000177,3,-118.33,8742.84,3785.3,3757.9,A_down@10:09,3742.2344
2022-10-27,a_held,short,09:57,put,3805.0,3780.0,7.200000000000001,25.0,3,533.7,9276.54,3840.3,3828.3,A_down@09:56|B@10:15|failed_C_up@10:33,3772.2297
2022-10-28,a_held,long,10:34,call,3845.0,3870.0,12.7,25.0,2,245.8,9522.34,3828.7,3800.1,A_up@10:33,3905.2024
2022-11-14,a_held,long,10:24,call,3985.0,4010.0,12.200000000000001,0.0,2,-244.2,9278.14,3976.9,3965.6,A_up@10:23|B@11:18,3968.3572
2022-12-23,a_held,long,10:39,call,3825.0,3850.0,13.8,19.514000000000124,2,114.08,9392.22,3810.1,3784.0,A_up@10:38,3844.514
2022-12-29,a_held,long,10:20,call,3830.0,3855.0,14.099999999999998,19.088000000000193,1,49.78,9442.0,3815.4,3793.2,A_up@10:19,3849.088
2023-02-07,a_held,long,11:41,call,4105.0,4130.0,12.599999999999998,25.0,2,247.8,9689.8,4093.7,4085.9,A_up@11:40|B@13:32|failed_C_down@13:35,4154.1157
2023-02-22,a_held,short,10:19,put,3980.0,3955.0,7.199999999999999,0.0,4,-288.4,9401.4,4001.5,3993.8,A_down@10:18|B@12:38|failed_C_up@14:07,3991.847
2023-03-16,a_held,long,10:50,call,3900.0,3925.0,10.6,25.0,2,287.8,9689.2,3880.0,3864.5,A_up@10:49,3960.9497
2023-04-13,a_held,long,10:23,call,4105.0,4130.0,13.9,25.0,2,221.8,9911.0,4094.3,4088.4,A_up@10:22,4148.4214
2023-04-17,a_held,short,11:46,put,4115.0,4090.0,2.85,0.0,10,-286.0,9625.0,4130.4,4123.4,A_down@11:45|B@15:08,4155.3813
2023-04-21,a_held,short,10:08,put,4110.0,4085.0,3.95,0.0,7,-277.2,9347.8,4121.7,4117.8,A_down@10:07|B@10:26,4133.559
2023-04-26,a_held,short,10:27,put,4050.0,4025.0,4.05,0.0,6,-243.6,9104.2,4070.8,4064.2,A_down@10:26|B@11:10,4061.914
2023-05-15,a_held,short,10:16,put,4105.0,4080.0,4.85,0.0,5,-243.0,8861.2,4121.6,4113.6,A_down@10:15|B@12:44|C_up@13:17,4138.5107
2023-06-01,a_held,long,10:49,call,4190.0,4215.0,10.05,25.0,2,298.8,9160.0,4178.7,4171.5,A_up@10:48,4225.6187
2023-06-15,a_held,long,10:00,call,4385.0,4410.0,9.4,25.0,2,311.8,9471.8,4376.2,4363.5,A_up@09:59,4421.0815
2023-06-27,a_held,long,11:45,call,4340.0,4365.0,15.799999999999999,25.0,1,91.9,9563.7,4331.3,4323.0,A_up@11:44,4380.647
